particle,sect,pdl,eff,eff_err,ko_eff,Q2lo,Q2hi
p,6,9,0.9320,0.0195,1,1.750,5.250
p,1,10,0.7973,0.0143,1,1.750,5.250
p,2,10,0.8253,0.0145,1,1.750,5.250
p,3,10,1.0069,0.0162,1,1.750,5.250
p,4,10,0.9931,0.0157,1,1.750,5.250
p,5,10,0.4667,0.0112,1,1.750,5.250
p,6,10,0.9080,0.0153,1,1.750,5.250
p,1,11,0.8929,0.0130,1,1.750,5.250
p,2,11,0.8032,0.0123,1,1.750,5.250
p,3,11,7.6012,0.1150,0,1.750,5.250
p,4,11,1.0661,0.0140,1,1.750,5.250
p,5,11,0.6207,0.0109,1,1.750,5.250
p,6,11,0.9339,0.0133,1,1.750,5.250
p,1,12,0.8486,0.0110,1,1.750,5.250
p,2,12,0.5979,0.0092,0,1.750,5.250
p,3,12,0.9527,0.0115,1,1.750,5.250
p,4,12,1.0433,0.0121,1,1.750,5.250
p,5,12,0.8519,0.0110,1,1.750,5.250
p,6,12,0.9567,0.0117,1,1.750,5.250
p,1,13,1.0072,0.0114,1,1.750,5.250
p,2,13,0.8008,0.0102,1,1.750,5.250
p,3,13,0.9928,0.0111,1,1.750,5.250
p,4,13,0.8586,0.0103,1,1.750,5.250
p,5,13,0.8897,0.0107,1,1.750,5.250
p,6,13,0.9530,0.0110,1,1.750,5.250
p,1,14,0.9666,0.0105,1,1.750,5.250
p,2,14,0.7833,0.0095,1,1.750,5.250
p,3,14,0.9945,0.0106,1,1.750,5.250
p,4,14,0.9508,0.0102,1,1.750,5.250
p,5,14,0.8971,0.0101,1,1.750,5.250
p,6,14,1.0055,0.0108,1,1.750,5.250
p,1,15,0.9813,0.0106,1,1.750,5.250
p,2,15,0.7558,0.0093,1,1.750,5.250
p,3,15,0.9732,0.0104,1,1.750,5.250
p,4,15,1.0183,0.0106,1,1.750,5.250
p,5,15,0.8015,0.0095,1,1.750,5.250
p,6,15,0.9817,0.0106,1,1.750,5.250
p,1,16,0.9962,0.0108,1,1.750,5.250
p,2,16,0.7713,0.0096,1,1.750,5.250
p,3,16,0.9386,0.0103,0,1.750,5.250
p,4,16,1.0038,0.0106,1,1.750,5.250
p,5,16,0.9041,0.0102,1,1.750,5.250
p,6,16,0.9678,0.0106,1,1.750,5.250
p,1,17,0.9621,0.0108,1,1.750,5.250
p,2,17,0.7318,0.0096,1,1.750,5.250
p,3,17,0.9878,0.0108,1,1.750,5.250
p,4,17,1.0122,0.0108,1,1.750,5.250
p,5,17,0.9061,0.0104,1,1.750,5.250
p,6,17,0.9870,0.0109,1,1.750,5.250
p,1,18,0.9975,0.0117,1,1.750,5.250
p,2,18,0.7401,0.0102,1,1.750,5.250
p,3,18,0.9753,0.0113,1,1.750,5.250
p,4,18,1.0025,0.0114,1,1.750,5.250
p,5,18,0.9409,0.0112,1,1.750,5.250
p,6,18,0.9957,0.0115,1,1.750,5.250
p,1,19,0.9625,0.0121,1,1.750,5.250
p,2,19,0.7777,0.0111,1,1.750,5.250
p,3,19,0.9788,0.0120,1,1.750,5.250
p,4,19,1.0000,0.0120,1,1.750,5.250
p,5,19,0.9581,0.0123,1,1.750,5.250
p,6,19,1.0000,0.0122,1,1.750,5.250
p,1,20,0.9894,0.0131,1,1.750,5.250
p,2,20,0.7677,0.0118,1,1.750,5.250
p,3,20,1.0091,0.0130,1,1.750,5.250
p,4,20,0.9909,0.0128,1,1.750,5.250
p,5,20,5.1888,0.1031,0,1.750,5.250
p,6,20,0.9876,0.0129,1,1.750,5.250
p,1,21,0.9758,0.0139,1,1.750,5.250
p,2,21,0.7722,0.0126,1,1.750,5.250
p,3,21,0.9568,0.0134,1,1.750,5.250
p,4,21,1.0057,0.0138,1,1.750,5.250
p,5,21,0.9146,0.0135,1,1.750,5.250
p,6,21,0.9943,0.0139,1,1.750,5.250
p,1,22,0.9536,0.0149,1,1.750,5.250
p,2,22,0.7719,0.0137,1,1.750,5.250
p,3,22,1.0059,0.0151,1,1.750,5.250
p,4,22,0.9941,0.0149,1,1.750,5.250
p,5,22,0.9417,0.0149,1,1.750,5.250
p,6,22,0.9142,0.0145,1,1.750,5.250
p,1,23,0.9766,0.0157,1,1.750,5.250
p,2,23,0.8099,0.0141,1,1.750,5.250
p,3,23,0.9282,0.0140,1,1.750,5.250
p,4,23,0.9645,0.0148,1,1.750,5.250
p,5,23,0.9098,0.0152,1,1.750,5.250
p,6,23,1.0234,0.0159,1,1.750,5.250
p,1,24,0.9877,0.0141,1,1.750,5.250
p,2,24,0.8387,0.0132,1,1.750,5.250
p,4,24,0.9708,0.0136,1,1.750,5.250
p,5,24,0.9548,0.0139,1,1.750,5.250
p,6,24,1.0123,0.0142,1,1.750,5.250
p,1,25,1.0077,0.0164,1,1.750,5.250
p,2,25,0.9783,0.0170,1,1.750,5.250
p,3,25,0.9341,0.0148,1,1.750,5.250
p,4,25,0.9923,0.0158,1,1.750,5.250
p,5,25,0.9496,0.0156,1,1.750,5.250
p,6,25,0.9023,0.0149,1,1.750,5.250
p,1,26,1.0344,0.0192,1,1.750,5.250
p,2,26,0.9656,0.0189,1,1.750,5.250
p,3,26,0.8993,0.0168,1,1.750,5.250
p,4,26,0.9327,0.0174,1,1.750,5.250
p,5,26,0.9097,0.0172,1,1.750,5.250
p,6,26,0.8822,0.0170,1,1.750,5.250
p,1,27,0.9751,0.0222,1,1.750,5.250
p,2,27,1.0249,0.0239,1,1.750,5.250
p,3,27,0.9611,0.0220,1,1.750,5.250
p,4,27,0.9325,0.0215,1,1.750,5.250
p,5,27,0.9347,0.0219,1,1.750,5.250
p,6,27,0.8665,0.0208,1,1.750,5.250
p,1,28,0.9920,0.0304,1,1.750,5.250
p,2,28,1.0080,0.0317,1,1.750,5.250
p,3,28,0.9558,0.0295,1,1.750,5.250
p,4,28,0.9485,0.0288,1,1.750,5.250
p,5,28,0.9041,0.0285,1,1.750,5.250
p,6,28,0.8748,0.0281,1,1.750,5.250
p,1,29,1.0046,0.0480,1,1.750,5.250
p,2,29,0.9161,0.0466,1,1.750,5.250
p,3,29,0.9903,0.0492,1,1.750,5.250
p,4,29,0.9954,0.0490,1,1.750,5.250
p,5,29,0.9353,0.0468,1,1.750,5.250
p,6,29,0.7573,0.0406,1,1.750,5.250
p,1,30,1.0146,0.0913,1,1.750,5.250
p,2,30,0.9125,0.0867,1,1.750,5.250
p,3,30,0.7783,0.0739,1,1.750,5.250
p,4,30,0.9854,0.0969,1,1.750,5.250
p,5,30,0.7761,0.0740,1,1.750,5.250
p,6,30,0.7260,0.0759,1,1.750,5.250
p,1,31,1.0518,0.1741,1,1.750,5.250
p,2,31,0.8749,0.1501,1,1.750,5.250
p,3,31,0.9119,0.1584,1,1.750,5.250
p,4,31,0.9482,0.1607,1,1.750,5.250
p,5,31,0.4567,0.0930,1,1.750,5.250
p,6,31,0.6105,0.1180,1,1.750,5.250
p,1,32,0.5276,0.1334,1,1.750,5.250
p,2,32,0.9710,0.2538,1,1.750,5.250
p,3,32,1.0290,0.3049,1,1.750,5.250
p,4,32,0.8347,0.2657,1,1.750,5.250
p,5,32,6.2923,4.6862,0,1.750,5.250
p,6,32,0.5921,0.1616,0,1.750,5.250
p,1,33,1.2511,0.5827,1,1.750,5.250
p,2,33,0.3895,0.1822,1,1.750,5.250
p,3,33,0.1961,0.0968,1,1.750,5.250
p,4,33,0.5626,0.2099,1,1.750,5.250
p,5,33,0.7489,0.3471,1,1.750,5.250
p,6,33,0.1843,0.0831,0,1.750,5.250
p,1,34,0.4865,0.4363,1,1.750,5.250
p,2,34,0.9101,0.6028,1,1.750,5.250
p,3,34,1.0899,0.6958,1,1.750,5.250
p,5,34,0.4949,0.3122,1,1.750,5.250
p,6,34,0.7476,0.5979,0,1.750,5.250
p,1,35,0.4879,0.4395,1,1.750,5.250
p,2,35,1.5121,1.6572,1,1.750,5.250
p,3,35,0.4614,0.4202,1,1.750,5.250
p,4,35,0.3016,0.4274,1,1.750,5.250
p,6,35,0.8134,0.6741,0,1.750,5.250
p,2,36,1.0000,0.9774,1,1.750,5.250
