particle,sect,pdl,eff,eff_err,ko_eff,Q2lo,Q2hi
pip,6,6,1.0846,0.0740,0,1.750,5.250
pip,1,7,0.9923,0.0446,0,1.750,5.250
pip,2,7,0.9141,0.0415,1,1.750,5.250
pip,3,7,0.9323,0.0417,1,1.750,5.250
pip,4,7,0.9033,0.0412,0,1.750,5.250
pip,5,7,1.0118,0.0449,1,1.750,5.250
pip,6,7,0.9882,0.0468,1,1.750,5.250
pip,1,8,0.9949,0.0336,1,1.750,5.250
pip,2,8,0.9909,0.0330,1,1.750,5.250
pip,3,8,0.9903,0.0328,1,1.750,5.250
pip,4,8,0.9048,0.0315,1,1.750,5.250
pip,5,8,0.9214,0.0324,1,1.750,5.250
pip,6,8,1.0051,0.0351,1,1.750,5.250
pip,1,9,0.9578,0.0261,1,1.750,5.250
pip,2,9,0.9939,0.0266,1,1.750,5.250
pip,3,9,0.9709,0.0262,1,1.750,5.250
pip,4,9,1.0061,0.0267,1,1.750,5.250
pip,5,9,0.9870,0.0268,1,1.750,5.250
pip,6,9,0.9513,0.0271,1,1.750,5.250
pip,1,10,0.9004,0.0210,1,1.750,5.250
pip,2,10,0.9929,0.0222,1,1.750,5.250
pip,3,10,1.0071,0.0222,1,1.750,5.250
pip,4,10,0.9036,0.0210,1,1.750,5.250
pip,5,10,0.9250,0.0215,1,1.750,5.250
pip,6,10,0.9534,0.0226,1,1.750,5.250
pip,1,11,0.9831,0.0200,1,1.750,5.250
pip,2,11,1.0269,0.0207,0,1.750,5.250
pip,3,11,0.0823,0.0057,0,1.750,5.250
pip,4,11,0.9307,0.0195,1,1.750,5.250
pip,5,11,1.0169,0.0205,1,1.750,5.250
pip,6,11,0.9478,0.0207,1,1.750,5.250
pip,1,12,0.9665,0.0176,1,1.750,5.250
pip,2,12,0.9868,0.0180,1,1.750,5.250
pip,3,12,1.0132,0.0183,1,1.750,5.250
pip,4,12,0.9224,0.0172,1,1.750,5.250
pip,5,12,0.9176,0.0173,1,1.750,5.250
pip,6,12,0.9280,0.0183,1,1.750,5.250
pip,1,13,0.9523,0.0162,1,1.750,5.250
pip,2,13,1.0201,0.0172,1,1.750,5.250
pip,3,13,0.9799,0.0167,1,1.750,5.250
pip,4,13,0.9008,0.0159,1,1.750,5.250
pip,5,13,0.9266,0.0162,1,1.750,5.250
pip,6,13,0.9374,0.0172,1,1.750,5.250
pip,1,14,0.9728,0.0157,1,1.750,5.250
pip,2,14,1.0272,0.0165,1,1.750,5.250
pip,3,14,0.9637,0.0160,1,1.750,5.250
pip,4,14,0.8866,0.0151,1,1.750,5.250
pip,5,14,0.9437,0.0158,1,1.750,5.250
pip,6,14,0.9428,0.0167,1,1.750,5.250
pip,1,15,0.9893,0.0154,1,1.750,5.250
pip,2,15,1.0107,0.0159,1,1.750,5.250
pip,3,15,0.9663,0.0155,1,1.750,5.250
pip,4,15,0.9013,0.0148,1,1.750,5.250
pip,5,15,0.8997,0.0149,0,1.750,5.250
pip,6,15,0.9166,0.0160,1,1.750,5.250
pip,1,16,0.9976,0.0153,1,1.750,5.250
pip,2,16,0.8216,0.0143,0,1.750,5.250
pip,3,16,1.0024,0.0160,1,1.750,5.250
pip,4,16,0.9449,0.0151,1,1.750,5.250
pip,5,16,0.9677,0.0155,1,1.750,5.250
pip,6,16,0.9601,0.0165,1,1.750,5.250
pip,1,17,0.9505,0.0144,1,1.750,5.250
pip,2,17,1.0495,0.0156,1,1.750,5.250
pip,3,17,0.9151,0.0150,1,1.750,5.250
pip,4,17,0.9108,0.0144,1,1.750,5.250
pip,5,17,0.9246,0.0147,1,1.750,5.250
pip,6,17,0.9386,0.0159,1,1.750,5.250
pip,1,18,0.9825,0.0147,1,1.750,5.250
pip,2,18,1.0175,0.0154,1,1.750,5.250
pip,3,18,0.9105,0.0152,1,1.750,5.250
pip,4,18,0.9461,0.0147,1,1.750,5.250
pip,5,18,1.0048,0.0154,0,1.750,5.250
pip,6,18,0.6359,0.0131,0,1.750,5.250
pip,1,19,0.9825,0.0147,1,1.750,5.250
pip,2,19,1.0175,0.0155,1,1.750,5.250
pip,3,19,0.9198,0.0154,1,1.750,5.250
pip,4,19,0.8861,0.0143,0,1.750,5.250
pip,5,19,0.9276,0.0149,1,1.750,5.250
pip,6,19,0.9227,0.0162,1,1.750,5.250
pip,1,20,0.9859,0.0149,1,1.750,5.250
pip,2,20,1.0141,0.0158,1,1.750,5.250
pip,3,20,0.9534,0.0158,1,1.750,5.250
pip,4,20,0.9172,0.0148,1,1.750,5.250
pip,5,20,0.9430,0.0153,0,1.750,5.250
pip,6,20,0.9037,0.0166,1,1.750,5.250
pip,1,21,1.0053,0.0153,1,1.750,5.250
pip,2,21,0.9947,0.0160,1,1.750,5.250
pip,3,21,0.9570,0.0158,1,1.750,5.250
pip,4,21,0.8998,0.0148,1,1.750,5.250
pip,5,21,0.9404,0.0155,0,1.750,5.250
pip,6,21,0.9335,0.0175,1,1.750,5.250
pip,1,22,0.9980,0.0157,1,1.750,5.250
pip,2,22,1.0020,0.0165,1,1.750,5.250
pip,3,22,0.9485,0.0161,1,1.750,5.250
pip,4,22,0.9406,0.0158,1,1.750,5.250
pip,5,22,0.9595,0.0164,1,1.750,5.250
pip,6,22,0.9403,0.0185,1,1.750,5.250
pip,1,23,0.9747,0.0152,1,1.750,5.250
pip,2,23,0.9746,0.0154,1,1.750,5.250
pip,3,23,0.8824,0.0149,1,1.750,5.250
pip,4,23,0.8910,0.0146,1,1.750,5.250
pip,5,23,0.9184,0.0158,1,1.750,5.250
pip,6,23,1.0253,0.0186,1,1.750,5.250
pip,1,24,1.0539,0.0132,0,1.750,5.250
pip,2,24,1.0037,0.0133,1,1.750,5.250
pip,3,24,0.8549,0.0123,0,1.750,5.250
pip,4,24,0.9395,0.0129,0,1.750,5.250
pip,5,24,0.9963,0.0137,1,1.750,5.250
pip,6,24,0.9939,0.0151,1,1.750,5.250
pip,1,25,1.0017,0.0130,1,1.750,5.250
pip,2,25,0.9983,0.0134,1,1.750,5.250
pip,3,25,0.9090,0.0126,0,1.750,5.250
pip,4,25,0.8853,0.0125,1,1.750,5.250
pip,5,25,0.9310,0.0132,1,1.750,5.250
pip,6,25,0.9424,0.0143,1,1.750,5.250
pip,1,26,0.9877,0.0130,1,1.750,5.250
pip,2,26,1.0123,0.0135,1,1.750,5.250
pip,3,26,0.8716,0.0123,1,1.750,5.250
pip,4,26,0.8739,0.0124,1,1.750,5.250
pip,5,26,0.8749,0.0128,1,1.750,5.250
pip,6,26,0.9293,0.0139,1,1.750,5.250
pip,1,27,1.0038,0.0137,1,1.750,5.250
pip,2,27,0.9962,0.0141,1,1.750,5.250
pip,3,27,0.8779,0.0130,0,1.750,5.250
pip,4,27,0.9018,0.0133,1,1.750,5.250
pip,5,27,0.9371,0.0140,1,1.750,5.250
pip,6,27,0.9553,0.0150,1,1.750,5.250
pip,1,28,1.0192,0.0145,1,1.750,5.250
pip,2,28,1.0257,0.0150,0,1.750,5.250
pip,3,28,0.9419,0.0142,0,1.750,5.250
pip,4,28,0.9322,0.0143,1,1.750,5.250
pip,5,28,0.9493,0.0148,0,1.750,5.250
pip,6,28,0.9808,0.0159,1,1.750,5.250
pip,1,29,0.9861,0.0148,1,1.750,5.250
pip,2,29,1.0139,0.0155,1,1.750,5.250
pip,3,29,0.9258,0.0147,1,1.750,5.250
pip,4,29,0.9181,0.0148,1,1.750,5.250
pip,5,29,0.9569,0.0156,1,1.750,5.250
pip,6,29,0.9715,0.0165,1,1.750,5.250
pip,1,30,0.9917,0.0156,1,1.750,5.250
pip,2,30,1.0083,0.0163,1,1.750,5.250
pip,3,30,0.9229,0.0155,1,1.750,5.250
pip,4,30,0.9060,0.0155,0,1.750,5.250
pip,5,30,0.9542,0.0164,1,1.750,5.250
pip,6,30,0.9590,0.0173,1,1.750,5.250
pip,1,31,1.0130,0.0168,1,1.750,5.250
pip,2,31,0.9870,0.0171,1,1.750,5.250
pip,3,31,0.9114,0.0164,1,1.750,5.250
pip,4,31,0.9100,0.0166,1,1.750,5.250
pip,5,31,0.9238,0.0171,1,1.750,5.250
pip,6,31,0.9506,0.0182,1,1.750,5.250
pip,1,32,1.0068,0.0180,1,1.750,5.250
pip,2,32,0.9932,0.0186,1,1.750,5.250
pip,3,32,0.9320,0.0182,1,1.750,5.250
pip,4,32,0.9246,0.0180,1,1.750,5.250
pip,5,32,0.9368,0.0185,1,1.750,5.250
