W/D	Q2	xs1	e1	xs2	e2	xs3	e3	xs4	e4	xs1b	e1b	xs2b	e2b	xs3b	e3b	xs4b	e4b
2.425	1.950	416.603513	57.594073	477.545640	61.662875	412.796957	57.330347	419.119398	57.767718	450.396724	32.938574	530.412135	32.938574	450.396658	32.938574	450.396711	32.938574
2.475	1.950	374.035456	63.815041	434.047894	68.744110	369.037702	63.387269	375.719499	63.958539	391.626935	32.295110	478.517437	32.295110	391.626935	32.295110	391.624610	32.295110
2.525	1.950	305.373571	52.548700	356.390954	56.768784	301.058603	52.176119	306.633269	52.656973	339.674706	30.541958	403.398221	30.541958	319.634911	30.541958	339.674622	30.541958
2.575	1.950	303.110781	46.006982	354.578729	49.759888	290.800309	45.063040	305.148153	46.161342	344.531235	27.062699	422.030808	27.062699	319.426581	27.062699	344.531235	27.062699
2.625	1.950	322.854671	45.487246	362.064163	48.170247	325.151026	45.648727	322.721936	45.477895	336.642542	22.653835	292.601111	22.653835	268.854792	22.653835	336.642542	22.653835
2.675	1.950	249.082431	37.613251	287.731736	40.426226	235.315189	36.558999	250.431891	37.715002	269.618939	22.062756	326.807966	22.062756	251.109571	22.062756	269.618939	22.062756
2.725	1.950	157.404437	27.177301	192.867389	30.083422	151.041274	26.622305	157.724354	27.204905	144.795324	20.116033	196.271727	20.116033	144.795324	20.116033	144.795324	20.116033
2.775	1.950	99.923164	22.553473	123.925459	25.116586	83.369314	20.600770	87.912207	21.154606	82.460441	22.389539	130.177191	22.389539	82.460442	22.389539	82.460441	22.389539
2.825	1.950	69.133884	19.342068	56.931816	17.552337	56.782281	17.529270	61.382097	18.225451	49.109404	14.838002	20.076541	14.838002	49.109402	14.838002	49.109403	14.838002
1.725	2.250	425.471854	39.799972	325.847512	34.830086	444.973085	40.701856	684.799595	50.492758	890.484795	30.831807	890.484795	30.831807	386.258359	30.831807	890.484795	30.831807
1.775	2.250	1307.759432	84.806965	1391.311719	87.474167	1297.572037	84.475998	1278.219253	83.843668	1272.832918	50.970772	1429.974812	50.970772	1272.858222	50.970772	1272.858192	50.970772
1.825	2.250	1227.140255	91.718914	1182.414169	90.031942	1270.786990	93.335785	1259.680772	92.927029	1376.118838	63.321314	1299.411689	63.321314	1376.118844	63.321314	1376.118829	63.321314
1.875	2.250	1001.458044	97.460248	975.146888	96.171448	1004.514099	97.608840	991.902350	96.994162	1009.272155	69.831085	959.401776	69.831085	1009.272148	69.831085	1009.272154	69.831085
1.925	2.250	894.016969	75.970760	833.619487	73.359696	906.940280	76.517882	894.226645	75.979669	990.277511	52.922189	882.345963	52.922189	990.260763	52.922189	990.260761	52.922189
1.975	2.250	1010.147370	87.271947	952.240962	84.733613	1080.999360	90.280720	1067.232883	89.704018	1127.500824	58.708564	881.920719	58.708564	1127.500601	58.708564	1127.497074	58.708564
2.025	2.250	831.869000	87.801559	766.879669	84.302095	828.283284	87.612123	832.594554	87.839841	924.099819	52.647416	799.243312	52.647416	919.831069	52.647416	924.099819	52.647416
2.075	2.250	617.217531	71.030657	610.194668	70.625399	611.392910	70.694708	619.131023	71.140677	645.805682	54.273472	630.172812	54.273472	645.805831	54.273472	645.805681	54.273472
2.125	2.250	707.343314	113.268460	666.666181	109.963381	697.207373	112.453987	708.387383	113.352024	794.412736	75.608985	729.183335	75.608985	733.844435	75.608985	794.426616	75.608985
